table_name,column_name,type,description,controlled_values
checks,detailed_head_code,string,Detailed head of the compared key.,
checks,financial_column_position,integer,Which of the four positional amount columns is compared.,1|2|3|4
checks,financial_column_label,string,"Human label of that column, e.g. 'Accounts 2022-23', 'BE 2023-24'.",
checks,source_amount,number,"Summed child amount, INR thousand.",
checks,target_amount,number,"Printed total amount, INR thousand.",
checks,diff,number,"source_amount - target_amount (signed), INR thousand.",
checks,abs_diff,number,"Absolute difference, INR thousand.",
checks,accuracy_pct,number,"100 - |diff|/|target|*100, floored at 0 (100 when target is 0 and source is too).",
checks,passed,integer,1 iff abs_diff < threshold.,0|1
checks,failed,integer,1 - passed.,0|1
checks,metric_name,string,Always abs_diff.,abs_diff
checks,metric_value,number,The abs_diff value.,
checks,threshold,number,"Pass threshold in INR thousand (0.5): amounts are integers, so a pass means the figures match exactly. (KA's threshold is 0.01 INR lakh = 1 INR thousand.)",0.5
checks,na_reason,string,Reason a metric is not applicable (blank here).,
checks,source_file,string,Combined extraction CSV the comparison was computed from (analogous to KA's final-summary CSV family names; not a PDF).,
checks,target_file,string,Same as source_file (single-table model).,
validation_summary,document_year,string,Budget document year the aggregated checks belong to.,
validation_summary,fiscal_year,string,Fiscal year of the aggregated financial column (blank on ALL-position rollups).,
validation_summary,level,string,Aggregation level of the row: Year is the whole document year; Demand...Detailed drill into the account hierarchy; ALL-position rows aggregate the four financial columns together.,Year|Demand|MajorHead|SubMajor|Minor|SubHead|Detailed
validation_summary,demand_number,string,Demand number (populated at Demand level and below).,
validation_summary,major_head_code,string,Major head code (populated at MajorHead level and below).,
validation_summary,sub_major_head_code,string,Sub-major head code.,
validation_summary,minor_head_code,string,Minor head code.,
validation_summary,sub_head_code,string,Sub-head code.,
validation_summary,detailed_head_code,string,Detailed head code.,
validation_summary,financial_column_position,string,Which positional amount column the row aggregates (ALL = the four together).,1|2|3|4|ALL
validation_summary,financial_column_label,string,Human label of that column.,
validation_summary,n_checks,integer,Number of comparisons aggregated into this row.,
validation_summary,n_passed,integer,How many of them passed.,
validation_summary,pass_pct,number,n_passed / n_checks * 100.,
validation_summary,mu_accuracy_pct,number,Mean (mu) of accuracy_pct over the aggregated comparisons — passing comparisons count as 100.,
validation_summary,sigma_accuracy_pct,number,Population standard deviation (sigma) of accuracy_pct over the aggregated comparisons — 0 when every comparison agrees equally.,
